week,patriots,broncos
2015-02-01,100,6
2015-02-08,13,4
2015-02-15,8,4
2015-02-22,5,0
2015-03-01,5,0
2015-03-08,6,0
2015-03-15,5,0
2015-03-22,5,0
2015-03-29,5,0
2015-04-05,4,0
2015-04-12,5,0
2015-04-19,9,0
2015-04-26,7,0
2015-05-03,5,0
2015-05-10,6,0
2015-05-17,5,0
2015-05-24,4,0
2015-05-31,5,0
2015-06-07,4,0
2015-06-14,4,0
2015-06-21,4,0
2015-06-28,4,0
2015-07-05,5,0
2015-07-12,4,0
2015-07-19,4,0
2015-07-26,5,0
2015-08-02,6,0
2015-08-09,7,4
2015-08-16,4,4
2015-08-23,4,4
2015-08-30,5,4
2015-09-06,22,5
2015-09-13,11,12
2015-09-20,11,4
2015-09-27,11,6
2015-10-04,8,5
2015-10-11,12,5
2015-10-18,16,5
2015-10-25,17,4
2015-11-01,10,13
2015-11-08,10,5
2015-11-15,15,6
2015-11-22,16,6
2015-11-29,23,17
2015-12-06,15,6
2015-12-13,16,6
2015-12-20,13,7
2015-12-27,17,10
2016-01-03,16,9
2016-01-10,21,6
2016-01-17,25,23
