week,patriots,broncos
2015-02-01,100,9
2015-02-08,12,7
2015-02-15,8,6
2015-02-22,7,6
2015-03-01,8,7
2015-03-08,13,10
2015-03-15,8,7
2015-03-22,6,6
2015-03-29,6,5
2015-04-05,5,6
2015-04-12,6,5
2015-04-19,9,11
2015-04-26,10,12
2015-05-03,11,9
2015-05-10,16,7
2015-05-17,6,6
2015-05-24,4,6
2015-05-31,4,6
2015-06-07,4,6
2015-06-14,5,6
2015-06-21,4,6
2015-06-28,4,6
2015-07-05,4,7
2015-07-12,5,8
2015-07-19,5,8
2015-07-26,10,10
2015-08-02,8,12
2015-08-09,15,25
2015-08-16,11,19
2015-08-23,15,23
2015-08-30,18,30
2015-09-06,49,26
2015-09-13,19,73
2015-09-20,31,23
2015-09-27,27,45
2015-10-04,22,39
2015-10-11,31,40
2015-10-18,37,39
2015-10-25,47,28
2015-11-01,24,64
2015-11-08,33,43
2015-11-15,40,42
2015-11-22,54,36
2015-11-29,47,58
2015-12-06,38,34
2015-12-13,39,40
2015-12-20,30,40
2015-12-27,35,61
2016-01-03,31,49
2016-01-10,40,31
2016-01-17,47,84
