week,patriots,broncos
2015-02-01,100,8
2015-02-08,11,5
2015-02-15,7,5
2015-02-22,6,5
2015-03-01,6,5
2015-03-08,10,8
2015-03-15,7,5
2015-03-22,5,4
2015-03-29,5,4
2015-04-05,5,4
2015-04-12,5,4
2015-04-19,7,8
2015-04-26,8,10
2015-05-03,9,6
2015-05-10,13,5
2015-05-17,5,4
2015-05-24,3,4
2015-05-31,4,4
2015-06-07,4,4
2015-06-14,4,4
2015-06-21,4,4
2015-06-28,3,4
2015-07-05,3,5
2015-07-12,4,6
2015-07-19,4,6
2015-07-26,8,7
2015-08-02,6,9
2015-08-09,12,18
2015-08-16,8,14
2015-08-23,12,17
2015-08-30,14,22
2015-09-06,38,19
2015-09-13,15,55
2015-09-20,25,17
2015-09-27,22,35
2015-10-04,18,30
2015-10-11,25,30
2015-10-18,30,29
2015-10-25,39,21
2015-11-01,19,49
2015-11-08,27,34
2015-11-15,34,32
2015-11-22,41,26
2015-11-29,40,45
2015-12-06,32,27
2015-12-13,32,31
2015-12-20,25,31
2015-12-27,29,47
2016-01-03,25,39
2016-01-10,36,24
2016-01-17,40,71
